football / soccer	le football
to play football	jouer au football
a football player / a footballer	un footballeur
a football star	une star du ballon rond
a football	un ballon de football
a (football) club	un club (de football)
a (football) team	une équipe (de football)
a (football) pitch / field / ground	un terrain (de football)
the stadium	le stade
a (football) match	un match (de football)
football boots	des chaussures de football
a shirt	un maillot
(a pair of) shorts	un short
to kick the ball	frapper le ballon
to score a goal	marquer un but
a goalkeeper	un gardien de but
the referee/the ref / to referee	l’arbitre / arbitrer
a line judge	un juge de touche
to disallow a goal	refuser un but
(video) refereeing / VAR	l’arbitrage (vidéo) / la VAR
to give a penalty / a free kick	accorder un penalty / un coup franc
to be offside	être hors jeu
a foul	une faute
to be booked	recevoir un avertissement
a yellow card / a red card	un carton jaune / un carton rouge
to be sent off	être expulsé
the World Cup (final)	(la finale de) la Coupe du monde
the World Cup frenzy	l’engouement pour la Coupe du monde
the F.A. Cup final	la finale de la Coupe d’Angleterre
to be broadcast live	être retransmis en direct
a football fan / a football supporter	un supporter
to do the pools	faire le concours de pronostics
hooliganism / a hooligan	le hooliganisme / un hooligan
a trouble maker / a rioter	un fauteur de troubles / un vandale
vandalism	le vandalisme
to ransack shops	saccager des boutiques
disturbances	des bagarres
to be a disgrace to the nation	être une honte pour le pays
to crack down on football violence	réprimer la violence dans le football
