the Declaration of Independence	la Déclaration d’indépendance
the American Constitution	la Constitution américaine
the founding fathers	les pères fondateurs
the Supreme Court / SCOTUS	la Cour suprême des États-Unis
the White House / the Capitol	la Maison-Blanche / le Capitole
Congress / a congressman	le Congrès / un membre du Congrès
the House of Representatives / a representative	la Chambre des représentants / un membre de la Chambre
the Speaker	le Président de la Chambre
the Senate / a senator	le Sénat / un sénateur
filibustering	l’obstruction parlementaire
the shutdown	le blocage budgétaire
the President / the Vice-President	le Président / le Vice-président
checks and balances	l’équilibre des pouvoirs
the incumbent / outgoing president	le président en exercice / sortant
to run for the presidency	être candidat à la présidence
to be elected for a four-year term	être élu pour un mandat de 4 ans
a delegate to the national convention	un délégué à la convention nationale
a Republican / a Democrat	un Républicain / un Démocrate
the GOP (the Grand Old Party)	le parti républicain
the primaries	les primaires
to gain the party nomination	obtenir l’investiture du parti
the presidential ticket / a running mate	le ticket présidentiel / un colistier
to go on the stump	faire campagne
a whistle-stop tour	une tournée électorale éclair
pork barrel	de l’électoralisme
gerrymandering	le charcutage électoral
a presidential elector	un grand électeur
a blue state / a red state	un État démocrate / républicain
a swing state	un État clé, un État pivot
absentee ballot	le vote par correspondance
to vote absentee	voter par correspondance
the “winner takes all” rule	la règle du tout ou rien
to be sworn into office	prêter serment
the President’s Inaugural Address	le discours d’investiture du Président
The State of the Union Address	le discours sur l’état de l’Union
midterm elections	les élections de mi-mandat
a lame duck	un président non réélu
impeachment	l’impeachment (procédure de mise en accusation du président)
