to be violent	être violent
an act of violence	un acte de violence
to use violence / to resort to violence	avoir recours à la violence
gun culture	la culture des armes
to kill sb cold-bloodedly / to kill sb in cold blood	tuer qn de sang-froid
to slaughter sb / to massacre sb	massacrer qn
a slaughter / a massacre	un carnage, un massacre
to open fire on sb	ouvrir le feu sur qn
to shoot sb	tuer qn (avec un arme a feu)
to be gunned down	se faire descendre
to wound sb	blesser qn
a gun / a firearm	une arme a feu
a handgun	un revolver
a rifle	un fusil
an automatic weapon / an automatic	
a bullet	une balle
a gunfight	une fusillade
a school shooting / a school killing	une tuerie dans une école
to go on a killing spree	être pris d'une folie meurtrière
a gunman	un homme armé
a serial killer	un tueur en série
a gun manufacturer / a gun maker	un fabricant d'arme
gun ownership	la détention, possession d'une arme
a gun licence	un permis de port d'armes
to carry a gun	porter une arme
to pull the trigger	appuyer sur la détente
to be trigger-happy	avoir la gâchette facile
the National Rifle Association / the NRA	l'Association nationale des détenteurs d'armes à feu (USA)
to take the law into one's own hands	se faire justice soi-même
vigilantism	l'autodéfence
a vigilante	un justicier
self-defence	la légitime défence
to get even with sb	se venger de qn
to avenge sb's death	venger la mort de qn
gun control	la limitation des armes
to be easily available / accessible	être facilement disponible
to outlaw / to ban guns	interdire les armes
