a parliamentary monarchy	une monarchie parlementaire
the British Isles	les îles Britanniques
(Great) Britain	la Grande-Bretagne
England	l’Angleterre
Scotland	l’Écosse
Wales	le Pays de Galles
Northern Ireland / Ulster	l’Irlande du nord
(the Republic of) Ireland / Eire	la République d’Irlande / l’Eire
the British	les Britanniques
a Briton	un Britannique
a Brit	un rosbif
the English	les Anglais
an Englishman / an Englishwoman	un Anglais / une Anglaise
the Scots	les Écossais
a Scot / a Scotsman	un Écossais
a Scottish accent / a Scots accent	un accent écossais
the Welsh	les Gallois
a Welshman	un Gallois
to speak Welsh	parler gallois
the Irish	les Irlandais
an Irishman	un Irlandais
a strong Irish accent	un fort accent irlandais
cool Britannia	la Grande-Bretagne d’aujourd’hui
the Union Jack	l’Union Jack (= drapeau du R.U.)
to cross the (English) Channel	traverser la Manche
the Channel Tunnel	le tunnel sous la Manche
a London cab	un taxi londonien
a double decker	un autobus à deux étages
(to take) the tube	(prendre) le métro (à Londres)
to drive on the left-hand side of the road	conduire à gauche
the pound / the pound sterling	la livre / la livre sterling
a sports-mad country	un pays fou de sport
a dynamic country	un pays dynamique
to know how to evolve	savoir évoluer
to innovate	innover
to be creative and innovative	être créatif et innovateur
a two-tier society	une société à deux vitesses
a broken society	une société fracturée
a very unfair country	un pays très inégalitaire
