Buckingham Palace	le palais de Buckingham
a monarch	un monarque
a monarchist	un monarchiste
a sovereign	un souverain, une souveraine
sovereignty	la souveraineté
a crown	une couronne
a queen / a king	une reine / un roi
a prince / a princess	un prince / une princesse
a duke / a duchess	un duc / une duchesse
a marquis / a marquess	un marquis
a marchioness	une marquise
an earl	un comte (anglais)
a kingdom	un royaume
royalty / the royals	les membres de la famille royale
the royal family	la famille royale
the crown jewels	les joyaux de la couronne
Queen Elizabeth	la reine Élisabeth
Her / His Majesty	Sa Majesté
the changing of the Guards	la relève de la garde
to succeed sb	succéder à qn
a successor	un successeur
the heir to the throne	l’héritier de la couronne
to ascend the throne	monter sur le trône
the accession to the throne	l’accession au trône
the coronation	le couronnement
to reign	régner
to abdicate / abdication	abdiquer / l’abdication
a peer / a peeress	un pair / une pairesse
nobility	la noblesse
aristocracy / an aristocrat	l’aristocratie / un aristocratethe
the Queen’s / King’s Speech	le discours du trône
the royal prerogative	la prérogative royale
to abolish / to restore the monarchy	abolir / restaurer la monarchie
to restore one’s reputation	redorer son blason
to symbolize	symboliser
a purely symbolic role	un rôle purement symbolique
a symbol of unity	un symbole d’unité
to represent one’s country abroad	représenter son pays à l’étranger
the national anthem	l’hymne national
