the parents 	 les parents
the children 	 les enfants
the father 	 le père
the mother 	 la mère
the husband 	 le mari
the wife 	 la femme
a son 	 un fils
a daughter 	 une fille
a brother 	 un frère
a sister 	 une sœur
a large family 	 une famille nombreuse
a family member 	 un membre de la famille
family life 	 la vie de famille, la vie familiale
a close family / a close-knit family 	 une famille très unie
to start a family 	 fonder un foyer
upbringing / parenting 	 l’éducation des enfants
parental leave 	 le congé parental
the generation gap 	 le conflit des générations
to bring up / to raise a child 	 élever un enfant
the break-up of the family unit 	 la rupture de la cellule familiale
a single-parent family / a one-parent family 	 une famille monoparentale
a blended family 	 une famille recomposée
same-sex parents 	 une famille homoparentale
an unmarried mother 	 une mère célibataire
surrogacy 	 la GPA (la gestation pour autrui)
a surrogate mother 	 une mère porteuse
to get engaged 	 se fiancer
marriage 	 le mariage (l’institution)
to go to a wedding 	 aller à un mariage
to get married to sb / to marry sb 	 épouser qn
to be married to sb 	 être marié à qn
to be single 	 être célibataire
married life 	 la vie conjugale
to get on / to get along well with sb 	 bien s’entendre avec qn
to live together / to cohabit 	 vivre en concubinage
cohabitation 	 l’union libre, le concubinage
to be in a relationship 	 avoir qn dans sa vie
a common-law husband / wife 	 un concubin / une concubine
a partner 	 un compagnon, une compagne
civil partnership 	 l’union civile (GB), le PACS (Fr)
same-sex marriage / gay marriage 	 le mariage homosexuel, pour tous
to break up / to split up (with sb) 	 rompre (avec qn)
divorce / to (get a) divorce 	 le divorce / divorcer
to have custody of the children 	 avoir la garde des enfants
to pay alimony 	 verser une pension alimentaire
