a crime	un délit
crime / criminality	les délits / la criminalité
the crime rate	le taux de criminalité
urban violence	la violence urbaine
(juvenile) delinquency	la délinquance (juvénile)
a (teenage) delinquent	un (jeune) délinquant
a yob / a yobbo / a thug	un voyou, un loubard
aggressiveness	l'agressivité
a law-breaker / a criminal	qn qui transgresse la loi
to break the law	transgresser la loi
a murder	un meutre
violent crime	les délits avec violence
knife crime	les attaques au couteau
organized crime	le crime organisé, grand banditisme
white-collar crime	les délits financiers
verbal abuse	la violence verbale
tax evasion / a tax dodger	la fraude fiscale / un fraudeur de fisc
embezzlement	le détournement de fonds
insider dealing / insider trading	le délit d'initiés
money laundering	le blanchiment d'argent
counterfeiting	la contrefaçon
cybercrime	la cybercriminalité
a credit card scam	une arnaque à la carte de crédit
petty crime	la petite délinquance
to turn to crime	basculer dans la criminalité
to commit a murder / a crime	commettre un meutre / un délit
a mugging	une attaque avec violence
to attack sb / assault sb / mug sb	attaquer qn, agresser qn
armed robbery	le vol à main armé
burglary / a burglarize	cambriolage / un cambrioleur
to burgle / (US) to burglarize	cambrioler (une maison)
to break into a place / to raid a bank	s'introduire par effraction quelque part / braquer une banque
shoplifting	le vol à l'étalage
to steal sth from sb	voler qch à qn
a theft / a thief	un vol / un voleur
racketeering / a racketeer	le racket / un racketteur
to extort money from sb	racketter qn
a riot / a rioter	une émeute / un casseur
vandalism / to vandalize	le vandalisme / vandalier
