childhood	l'enfance
a child / children	un enfant / des enfants
adolescence / the teenage years	l'adolescence
an awkward age / a difficult age	un âge ingrat
an adolescent / a teenager	un adolescent / un ado
a teenage boy / a teenage girl	un ado / une ado
youth	la jeunesse
a gang of youths	une bande de jeunes (sens péjoratif)
youth culture	la culture des jeunes
a young person	un jeune
the young / young people	les jeunes
the youth of today / today's young people	la jeunesse d'aujourd'hui / les jeunes d'aujourd'hui
a Millennial / a generation Yer / a gen Yer	un enfant du millénaire, qn qui appartient à la génération Y
to grow up	grandir
to be still in one's teens	ne pas encore avoir 20 ans
to be grown-up	être adulte
a grown-up / an adult	un adulte
adulthood	l'âge adulte
maturity / immaturity	la maturité / l'immaturité
to be mature / to be immature	être mur / être immature
the malaise in young people	le malaise, le mal-être des jeunes
to feel good / bad about oneself	se sentir bien / mal dans sa peau
teen violence / teenage violence	la violence des jeunes
truancy	l'absentéisme scolaire
juvenile delinquency	la délinquance juvénile
disruptive behaviour	des incivilités
teenage suicide	le suicide des jeunes
to self-harm	s'auto-mutiler
teenage pregnancy	la grossesse des adolescentes
bulimia / to be bulimic	la boulimie / être boulimique
anorexia / to be anorexic	l'anorexie / être anorexique
to feel stressed	être stressé(e)
to be disillusioned / disenchanted	être désabusé / désenchanté
desperation	la désespérance
idleness	le désoeuvrement
to have no points of reference	ne pas avoir de repères
to integrate into / with society	s'insérer, s'intégrer dans la société
prejudice / bias against young people	le racisme anti-jeune
