poverty	la pauvreté, le paupérisme
destitution	le dénuement, la misère
the poor / poor people / the needy / the have-nots	les pauvres
poor	pauvre
a pauper / a poor man	un pauvre
to impoverish	paupériser, appauvrir
the impoverishment (of a population)	la paupérisation
dire poverty / grinding poverty / extreme poverty	la misère noire, la misère extrême, la grande pauvreté
to be poverty-sticken	être dans le misère
to live below the poverty line	vivre en dessous du seuil de pauvreté
the underprivileged / the deprived / the disadvantaged	les défavorisés
to live a hand-to-mouth existence	vivre au jour le jour
to make ends meet	joindre les deux bouts
starvation wages	un salaire de misère
to sink into poverty	sombrer, basculer dans la pauvreté
to hit / to reach rock bottom	toucher le fond
to keep the wolf from the door	tirer le diable par la queue
to live at the subsistence level	avoir juste de quoi vivre
to live below the subsistence level	ne pas avoir le minimum vital
the bare necessities (of life)	le strict nécessaire
to be moneyless	être sans argent
to be penniless	être sans le sou
to be short of money / to be pressed for money / strapped for cash	être à court d'argent, manquer d'argent
to be hard up / broke / skint	être fauché
world poverty / global poverty	la pauvreté mondiale
the least developed countries = LDCs	les pays les moins avancés
to get by / to scrape by	peiner à s'en sortir
to live on a dollar a day	vivre avec un dollar par jour
to alleviate poverty	réduire la pauvreté
to eradicate poverty	éradiquer la pauvreté
to meet a target	atteindre un objectif
a mammoth task / a daunting task	une tâche gigantesque, énorme
(the aid of) the World Bank	(l'aide de) la banque mondiale
