public transport	les transports en commun
a (n) (alternative) means of transport	un moyen de transport (alternatif)
a mode of transport	un mode de transport
a transport policy	une politique des transports
the underground	le métro
the tube	le métro (de Londres)
the subway	le métro (de New York)
the metro	le métro (parisien)
a tube station / (US) a subway station	une station de métro
to travel by tube	voyager en métro
to catch / to take the bus, tube, train	prendre le bus, le métro, le train
to get on the bus	monter dans le bus
to get off the bus	descendre du bus
a double-decker (bus)	un autobus à double étage
a bus stop	un arrêt de bus
a bus station	une gare routière
a bus ticket / a bus pass	un ticket de bus / une carte de bus
a bus lane / a bicycle lane	un couloir de bus / une piste cyclable
a railway station / a train station	une gare
a railway line	une ligne de chemin de fer
a commuter	un banlieusard
a commuter train	un train de banlieue
the high speed train	le TGV
to drop sb (off) at the station	déposer qqn à la gare
to pick sb up at the station	aller chercher qqn à la gare
to arrive on time	arriver à l’heure (train, etc.)
to be behind time / behind to be behind time / behind	être en retard (train, etc.)
to change trains	changer de train
to miss a connection (to)	manquer une correspondance (pour)
a single / a single ticket / (US) a one-way ticket	un aller simple
a return ticket / (US) a round trip ticket	un billet aller et retour
a season ticket	une carte d’abonnement (train)
a travel card	une carte de transport
to beat the traffic	éviter les embouteillages
a tram / (US) a streetcar	un tram, un tramway
a bicycle / a bike / roller skates	une bicyclette / un vélo / des rollers
a river shuttle	une navette fluviale
an urban cable car	un téléphérique urbain, un aérotram
