fundamental / basic rights	les droits fondamentaux
inalienable rights	les droits inaliénables
to be enshrined in the constitution	être garanti par la constitution
the observance of human rights	le respect des droits de l’homme
the United Nations	les Nations unies
a human rights activist / defender	un militant des droits de l’homme
the Rights of the Child	les droits de l’enfant
equal rights	l’égalité des droits
equal opportunities	l’égalité des chances
the right to work / to education	le droit au travail / à l’éducation
the right to own property	le droit à la propriété
civil rights	les droits civils
individual freedom / liberty	la liberté individuelle
the right of asylum	le droit d’asile
human rights violations / abuses	les violations des droits de l’homme
to encroach on / to infringe on individual freedom	empiéter sur la liberté individuelle
an encroachment on freedom of expression / freedom of speech	une atteinte à la liberté d’expression
to trample on sb’s rights	bafouer les droits de qn
political / religious oppression	l’oppression politique / religieuse
oppressed minorities	les minorités opprimées
to be downtrodden	être opprimé
political / religious persecution	la persécution politique / religieuse
to persecute	persécuter
to torture / a torturer	torturer / un tortionnaire
to be held hostage	être retenu en otage
to be enslaved	être réduit en esclavage
a dictatorship / a dictator	une dictature / un dictateur
a repressive regime	un régime répressif
censorship (of the press)	la censure (de la presse)
to censor the press	censurer la presse
to block internet access	bloquer l’accès à internet
to restrict people’s freedom	restreindre la liberté des gens
a political prisoner / detainee	un prisonnier politique
a labour camp	un camp de travail
a crime against humanity	un crime contre l’humanité
a genocide	un génocide
ethnic cleansing	le nettoyage ethnique
