euthanasia / mercy killing	l’euthanasie
passive euthanasia	l’euthanasie passive
the right to die (with dignity)	le droit de mourir (dans la dignité)
assisted suicide / assisted dying	le suicide médicalement assisté
a suicide doctor	un docteur qui pratique l’euthanasie
to be pro-euthanasia	être partisan de l’euthanasie
mercy-killing foes	les adversaires de l’euthanasie
to practise / to carry out euthanasia	pratiquer l’euthanasie
palliative care	les soins palliatifs
to be terminally ill	être en phase terminale
to be on a life support system	être sous assistance respiratoire
to unplug the life support system	débrancher le respirateur
to be kept alive artificially	être maintenu en vie artificiellement
to prolong life needlessly	prolonger la vie inutilement
use of intensive medication to keep sb alive / therapeutic obstinacy	l’acharnement thérapeutique
a degrading treatment	un traitement dégradant
to put an end to sb’s suffering	abréger les souffrances de qn
to alleviate sb’s suffering	soulager les souffrances de qn
to hasten sb’s death	accélérer la mort de qn
to terminate a patient’s life	mettre fin à la vie d’un malade
a pain killer	un calmant, un analgésique
to inject lethal drugs	administrer des médicaments mortels
to die a painless death / peacefully	mourir sans souffrir / paisiblement
the decriminalisation of euthanasia	la dépénalisation de l’euthanasie
to legalise euthanasia	légaliser l’euthanasie
the termination of life	l’interruption de la vie
an incurable disease	une maladie incurable
to be forced fed	être alimenté de force
to disconnect a feeding tube	débrancher un tube d’alimentation
to withhold tube feeding	arrêter l’alimentation artificielle
to have three months to live	avoir trois mois à vivre
to be in a persistent vegetative state	être dans un état végétatif persistant
to be permanently bedridden	être grabataire
to be in a coma	être dans le coma
to be clinically dead	être cliniquement mort
to be brain dead	être dans un coma dépassé
to be allowed to decide for oneself	être autorisé à décider soi-même
to make a living will	rédiger un testament de (fin de) vie
to draw up advance directives	rédiger des directives anticipées
