the fourth estate	le quatrième pouvoir
a newspaper / a paper	un journal
to have a circulation of 2m copies	être tiré à 2 millions d’exemplaires
a morning / an evening paper	un journal du matin / du soir
the quality press / the quality papers	la presse de qualité
the national press	la grande presse
the popular press	la presse à grand tirage
a broadsheet	un journal de qualité
the gutter press	la presse à scandale, à sensation
a tabloid	un tabloïd
a daily / a weekly	un quotidien / un hebdomadaire
a satirical magazine	un journal satirique
a (pulp) magazine	un magazine (à sensation)
a journal	une revue spécialisée
the local rag	le journal local
a newsstand	un kiosque à journaux
a newsagent	un marchand de journaux
to subscribe to / a subscriber	s’abonner à / un abonné
a newspaper cutting / article	une coupure / un article de journal
a news item	une information
current affairs	l’actualité (politique)
news in brief	les faits divers
journalism / a journalist	le journalisme / un journaliste
journalese	le jargon journalistique
a press conference	une conférence de presse
a press agency	une agence de presse
a press baron / tycoon / magnate	un baron / un magnat de la presse
sensationalism	le sensationnalisme
to sensationalize	faire du sensationnalisme
a headline	un gros titre, une manchette
to make / to grab / to hit the headlines	faire la une, faire les gros titres
the front page	la première page
to be in the news	être dans les journaux
press / media coverage	la couverture médiatique
media hype	le matraquage médiatique
a leader / a leading article	un éditorial
the editor	le rédacteur en chef
the publisher / to publish	l’éditeur / publier
to print	imprimer
