the English language	la langue anglaise
the language of Shakespeare	la langue de Shakespeare
the lingua franca of the world	la langue véhiculaire du monde
standard English	l’anglais enseigné dans les écoles
British English / American English	l’anglais britannique / américain
Queen’s English	l’anglais de la Reine
a variety of English	une variété d’anglais
the use of English	l’utilisation de l’anglais
to overcome the language barrier	surmonter la barrière de la langue
English pronunciation	la prononciation anglaise
Received Pronunciation (RP)	la prononciation standard
a mid atlantic accent	un accent mi-anglais mi-américain
a broad Irish accent	un fort accent irlandais
a cockney accent	un accent londonien
to roll one’s r’s	rouler les « r »
to drop one’s h’s	ne pas prononcer les « h »
English vocabulary	le vocabulaire anglais
English grammar	la grammaire anglaise
to speak good English / to speak English well	bien parler anglais
to be fluent in English / to speak fluent English	parler anglais couramment
to speak fluently	parler couramment
fluency	l’aisance
to be good at / bad at English	être bon / mauvais en anglais
to be proficient in English	être compétent en anglais
to improve one’s English	améliorer son anglais
spoken English / written English	l’anglais parlé / l’anglais écrit
to take an English course	suivre des cours d’anglais
a crash course in English	des cours intensifs d’anglais
an ineffective teaching method	une méthode d’enseignement inefficace
a native speaker of English	un anglophone
a(n) English / non-English speaker	qn qui parle / qui ne parle pas anglais
an English-speaking country	un pays anglophone
to have a smattering of English	avoir quelques notions d’anglais
to get by in English	se débrouiller en anglais
to let one’s English flow freely	s’exprimer sans complexe en anglais
to be hopeless at English	être nul en anglais
his English is very poor	il est très mauvais en anglais
pidgin English	du mauvais anglais
