to practise a religion	pratiquer une religion
religious beliefs	les croyances religieuses
religious tolerance	la tolérance religieuse
freedom of worship	la liberté du culte
secularism	la laïcité
fundamentalism / a fundamentalist	l’intégrisme / un intégriste
fanaticism / zealotry	le fanatisme
a religious sect	une secte religieuse
faith	la foi
to believe in God	croire en Dieu
Christ / Jesus Christ	le Christ / Jésus-Christ
a believer	un croyant
to be deeply religious	être très croyant
to pray / to say one’s prayers	prier / dire ses prières
good and evil	le bien et le mal
a church / to go to church	une église / aller à l’église
a mosque	une mosquée
a temple	un temple
a synagogue	une synagogue
an atheist	un athée
a pagan	un païen
Christianity / a Christian	le christianisme / un chrétien
Islam / an Islamist	l’islam(isme) / un islamiste
a Muslim / Muslim	un musulman / musulman
Muhammad / Mahomet / Mohammed	Mahomet
the prophet Muhammad	le prophète Mahomet
the Koran / the Qur’an	le Coran
Islamophobia	l’islamophobie
the Islamic headscarf / the niqab	le foulard islamique
the chador / the burqa	le tchador / la burqa
Buddhism / Hinduism	le bouddhisme / l’hindouisme
Judaism	le judaïsme
Catholicism / a catholic	le catholicisme / un catholique
Anglicanism / an Anglican	l’anglicanisme / un anglican
Protestantism / a protestant	le protestantisme / un protestant
the Orthodox Church	l’Eglise orthodoxe
the Bible	la Bible
