the justice system	le système judiciaire
the shortcomings of the justice system	le dysfonctionnement de la justice
to abide by the law	respecter la loi
a law-abiding citizen	un citoyen respectueux des lois
law enforcement	le respect de la loi
to enforce the law	faire respecter la loi
illegal / against the law	illégal
a (clean) criminal record	un casier judiciaire (vierge)
to take sb to court / to bring sb to justice / to sue sb	poursuivre qn en justice
to lodge a complaint against sb	porter plainte contre qn
to take legal advice	consulter un avocat
to be indicted	être mis en examen
to remand sb in custody	placer qn en détention provisoire
to stand trial / to be tried	passer en jugement
a trial (behind closed doors)	un procès (à huis clos)
a case	une affaire
the prosecution / the defence	l’accusation / la défense
the plaintiff / the defendant	le plaignant / l’accusé
a lawyer / (US) an attorney	un avocat
a judge / a juror / the jury	un juge / un juré / le jury
a charge	une accusation
to charge sb with murder	accuser qn de meurtre
to be accused of	être accusé de
the dock	le banc des accusés
a witness / a testimony	un témoin / un témoignage
to take the oath	prêter serment
to give evidence	témoigner
to plead guilty	plaider coupable
to be found guilty / a culprit	être reconnu coupable / un coupable
an old offender	un récédiviste
extenuating circumstances	des circonstances atténuantes
to be acquitted	être acquitté
an acquittal / a conviction	un acquittement / une condamnation
to be released on bail	être libéré sous caution
a prison / a cell	une prison / une cellule
prison overcrowding	la surpopulation carcérale
to jail sb / to imprison sb	incarcérer qn
an inmate	un détenu
a (prison) warder	un surveillant de prison
