Across the world some 820 million people are chronically malnourished.	Quelque 820 millions de personnes dans le monde souffrent de malnutrition chronique.
Even in the United States, the land of the fat, nearly 30 million people do not have enough to eat.	Même aux États-Unis, le pays des obèses, près de 30 millions de personnes ne mangent pas à leur faim.
There will be more than two billion extra mouths to feed within 30 years.	Il y aura plus de 2 milliards de bouches supplémentaires à nourrir dans moins de 30 ans.
All too often politicians do no more than pay lip service to the need to eradicate world hunger and they don’t match words with action.	Bien trop souvent les hommes politiques se contentent de parler de la nécessité d’éradiquer la faim dans le monde et leurs paroles ne sont pas suivies d’effet.
It is time world leaders put their money where their mouths are.	Il est temps que les leaders mondiaux passent aux actes.
Rice is the staple diet of more than half the world’s population.	Le riz est la denrée de base de plus de la moitié de la population mondiale.
The distribution of famine relief often trickles in where it is most needed.	La distribution d’aide alimentaire arrive souvent au compte-gouttes là où les gens en ont le plus besoin.
Famine is often rampant in Africa and wreaks havoc on the population.	La famine sévit souvent en Afrique et cause des ravages au sein de la population.
The famine that stalks countries like Zambia regularly is often due to drought but also to chronic misgovernance.	La famine qui règne régulièrement dans des pays tels que la Zambie est souvent due à la sécheresse mais aussi à une incompétence gouvernementale chronique.
An invasion of desert locusts often threatens food security in eastern Africa.	Une invasion de criquets pèlerins menace souvent la sécurité alimentaire en Afrique orientale.
Some scientists say that the use of corn for biofuels is exacerbating the food crisis and can trigger off food riots.	Certains scientifiques disent que l’utilisation du maïs pour les biocarburants aggrave la crise alimentaire et peut déclencher des émeutes de la faim.
Is it acceptable at the beginning of the 21st century that some people should eat the bark and roots of trees to survive?	Est-il acceptable au début du XXIe siècle que des gens mangent de l’écorce et des racines d’arbres pour survivre ?
A hungry man, an angry man. (proverb)	Ventre affamé n’a point d’oreilles.
