climate change	le changement climatique
a climate scientist / a climatologist	un climatologue
the world is heating up	le monde se réchauffe
the planet is choking	la planète suffoque
disruptions in the climate	des dérèglements climatiques
a major shift in the climate	un bouleversement climatique
to alter weather patterns	modifier les tendances climatiques
weather-related disasters	les catastrophes liées à la météo
extreme weather	des conditions météo extrêmes
a nightmare scenario	un scénario catastrophe
to be caused by human activity	être causé par l’activité humaine
to exacerbate the situation	aggraver la situation
ozone depletion	la diminution de la couche d’ozone
the hole in the ozone layer	le trou dans la couche d’ozone
greenhouse gases	des gaz à effet de serre
greenhouse gas emissions	des émissions de gaz à effet de serre
heat-trapping gases	des gaz qui retiennent la chaleur
to emit carbon dioxide	rejeter du gaz carbonique
to absorb / to soak up CO2	absorber le gaz carbonique
drought	la sécheresse
ice caps / permafrost	les calottes glaciaires / le permafrost
the melting of glaciers	la fonte des glaciers
polar ice is thinning	la glace polaire s’amenuise
snow cover is shrinking	la couche de neige diminue
glacier retreat	le recul des glaciers
coastal flooding	des inondations côtières
a rise in sea level	une élévation du niveau de la mer
a heat wave	une vague de chaleur, une canicule
a climate summit / conference	un(e) sommet, conférence sur le climat
the Paris (Climate) Agreement	l’accord de Paris (sur le climat)
to make polluters pay	faire payer les pollueurs
to cut one’s CO2 emissions	réduire ses émissions de CO2
carbon trading	l’échange des droits d’émission de carbone
fossil fuels	des énergies non renouvelables
alternative energy sources	des énergies de substitution
to trap CO2 in the subsoil	séquestrer le CO2 dans le sous-sol
to store CO2 in the seas	stocker le CO2 dans les océans
to stop the rot	empêcher les choses de se dégrader
