a species	une espèce
to be (particularly) at risk	être (particulièrement) menacé
to become extinct	disparaître
to be threatened with extinction	être menacé de disparition
to exterminate	exterminer
the wildlife trade	le commerce des animaux sauvages
a tiger / a tiger skin	un tigre / une peau de tigre
a Bengal tiger / a Siberian tiger	un tigre du Bengale / de Sibérie
the tiger’s habitat is shrinking	l’habitat du tigre diminue
a tiger reserve	une réserve de tigres
a wildlife park / a wildlife sanctuary	une réserve naturelle
an elephant / an elephant tusk	un éléphant / une défense d’éléphant
ivory	l’ivoire
the ivory trade	le commerce de l’ivoire
the ivory trade ban	l’interdiction du commerce de l’ivoire
a (polar) bear	un ours (polaire)
a mink	un vison
the fur trade	le commerce de la fourrure
a sea turtle	une tortue de mer
tortoise shell	de la carapace de tortue
a rhino	un rhinocéros
rhino horn	de la corne de rhinocéros
a hippo	un hippopotame
a shark	un requin
a whale	une baleine
a dolphin	un dauphin
bluefin tuna	le thon rouge
a seal / the seal cull	un phoque / le massacre des phoques
a sea bird	un oiseau de mer
a giant panda / a koala	un panda géant / un koala
a gorilla	un gorille
animal trafficking	le trafic d’animaux
poaching / to poach	le braconnage / braconner
a poacher	un braconnier
to hunt / a hunter	chasser / un chasseur
to smuggle	faire de la contrebande
to crack down on illegal trading	réprimer le commerce illégal
