a natural disaster	une catastrophe naturelle
a man-made disaster	une catastrophe causée par l’homme
a calamity waiting to happen	une catastrophe inévitable
a tragedy foretold	une tragédie annoncée
to take a very heavy toll	faire de très nombreuses victimes
to be declared a disaster area	être déclaré(e) zone sinistrée
the relief effort	les secours, l’aide
below sea level	en dessous du niveau de la mer
a flood / to flood the streets	une inondation / inonder les rues
to be in spate	être en crue
to overflow / to break one’s banks	sortir de son lit
a storm	un orage, une tempête
a hurricane / a tornado	un ouragan / une tornade
strong winds	des vents violents
to blow at 100 miles per hour	souffler à 160 km à l’heure
to be blown away	être emporté par le vent
to tear the roofs	arracher les toits
to ruin the power grid	dévaster le réseau électrique
a cyclone / a typhoon	un cyclone / un typhon
monsoon	la mousson
a cold spell	une vague de froid
a volcanic eruption	une éruption volcanique
a landslide	un glissement de terrain
an earthquake	un tremblement de terre
an earthquake measuring 7.8 on the Richter scale	un tremblement de terre de 7,8 sur l’échelle de Richter
an aftershock	une réplique
a tidal wave / a tsunami	un raz-de-marée / un tsunami
an avalanche	une avalanche
to devastate	dévaster
to cause huge damage to property	causer d’énormes dégâts matériels
to be trapped in one’s home	être prisonnier dans sa maison
to be stranded without food and water	être sans nourriture et sans eau
to anticipate hazards	prévenir les risques
to dredge rivers	draguer les rivières
