the consumer society	la société de consommation
throwaway culture	la culture du jetable
built-in obsolescence	l’obsolescence programmée
wastage	le gaspillage
waste	le gaspillage, les déchets
to waste	gaspiller
to throw away / to trash / to bin	jeter
to dispose of	se débarrasser de
disposable / throwaway (adj.)	jetable
a throwaway cigarette lighter	un briquet jetable
disposable / throwaway plates	des assiettes jetables
a tissue	un mouchoir en papier
a paper serviette	une serviette en papier
to be wasteful (of sth)	être gaspilleur
to have wasteful habits	avoir l’habitude de gaspiller
to use energy wastefully	gaspiller l’énergie
(UK) rubbish / refuse / litter	les déchets, les ordures, les détritus
(US) trash / garbage	les déchets, les ordures, les détritus
household waste	les ordures ménagères
industrial waste	les déchets industriels
chemical / toxic waste	les déchets chimiques / toxiques
food waste	les déchets alimentaires
food wastage	le gaspillage alimentaire
the rubbish collection	le ramassage / la collecte des ordures
a dustbin / (US) a garbage can / a trash can	une poubelle
a dustman / (US) a garbage man	un éboueur
a dustcart / (US) a garbage truck	un camion poubelle
to take out the rubbish	sortir les poubelles
the waste is collected at 6	ils ramassent les poubelles à 6 heures
a (rubbish) dump / a (rubbish) tip	une déchetterie, une décharge
to take sth to the tip	emmener qch à la décharge
an illicit rubbish dump	une décharge sauvage
a landfill site	un site d’enfouissement
a heap of rubbish	un tas d’ordures
a waste(paper) basket	une corbeille à papier
a kitchen bin	une poubelle de cuisine
a dustbin bag / a dustbin liner	un sac poubelle
