a non-renewable energy source	une énergie non-renouvelable
black gold	l’or noir
the oil industry	l’industrie pétrolière
crude / crude oil	le brut / le pétrole brut
unleaded petrol / LPG	de l’essence sans plomb / du GPL
fuel oil / heating oil	le fioul domestique
diesel (oil)	le gazole
a barrel of oil	un baril de pétrole
an oil-producing country	un pays producteur de pétrole
an oil-consuming country	un pays consommateur de pétrole
an oil producer / an oil consumer	un pays producteur / consommateur
an oil exporter / an oil importer	un pays exportateur / importateur
OPEC countries	les pays de l’OPEP
to export / to import	exporter / importer
an oil company	une compagnie pétrolière
an oil well	un puits de pétrole
an oil rig	une plate-forme pétrolière
oil drilling	l’exploration pétrolière
oil reserves / resources / supplies	les réserves / ressources pétrolières
(not) to be inexhaustible	(ne pas) être inépuisable
to be exhausted (oil supplies)	être épuisées (les réserves)
to strike oil	découvrir du pétrole
an oil pipeline	un oléoduc
an oil by-product	un dérivé du pétrole
the oil crisis / an oil shock	la crise pétrolière / un choc pétrolier
the oil shortage / the oil scarcity	la pénurie de pétrole
to run out of oil	manquer de pétrole
peak oil	le pic de production du pétrole
an oil price rise / increase / hike	une augmentation du prix du pétrole
to be dependent / reliant on oil	être dépendant du pétrole
reliance / dependence on oil	la dépendance du pétrole
to cut oil consumption	réduire la consommation de pétrole
(to mine) coal	(extraire) le charbon
a coal mine / a miner	une mine de charbon / un mineur
a coal-fired plant / a coal plant	une centrale au charbon
natural gas	le gaz naturel
shale gas	le gaz de schiste
fracking	la fracturation hydraulique
