unemployment / joblessness	le chômage
the unemployment rate	le taux de chômage
le taux de chômage unemployment	le chômage conjoncturel / structurel
to reverse the unemployment trend	inverser la courbe du chômage
unemployment figures / statistics	les chiffres du chômage
unemployment rose / increased by…	le chômage a augmenté de…
unemployment fell / dropped by…	le chômage a baissé de…
a rise in / fall in unemployment	une hausse / une baisse du chômage
to be unemployed / jobless / out of work / out of a job	être au chômage
the unemployed / the jobless	les chômeurs
an unemployed man / woman	un chômeur, une chômeuse
the long-term unemployed	les chômeurs de longue durée
youth unemployment	le chômage des jeunes
the job market / the labour market	le marché de l’emploi, du travail
a job seeker / a job hunter	un demandeur d’emploi
to look for work / to look for a job	chercher du travail
to apply for a job	postuler pour un emploi
a job application	une demande d’emploi
a job applicant	un postulant à un emploi
a CV / (US) a résumé	un CV
a redundancy / a layoff	un licenciement pour raison économique
to be made redundant / to be laid off	être licencié pour raison économique
to be fired / to be sacked	être mis à la porte, être viré
job cuts	des suppressions d’emplois
to cut jobs / to axe jobs / to shed jobs	supprimer des emplois
cutback in staff / staff cutback	une compression de personnel
to create jobs	créer des emplois
a job creation scheme	un plan de création d’emplois
to be in training / to do training	être en formation
a placement	un stage (pour un étudiant)
to be on probation	être à l’essai
a trainee	un stagiaire
the job centre	Pôle emploi
a job interview	un entretien d’embauche
work experience	l’expérience professionnelle
to be on the dole / (US) on welfare	toucher les allocations-chômage
severance pay / redundancy payment	les indemnités de licenciement
