a growing trend	une tendance croissante
teleworking / telecommuting	le télétravail
remote working	le travail à distance
to telework / to telecommute	télétravailler
a teleworker / a telecommuter	un télétravailleur
a remote worker	un travailleur à distance
to work from home / from a coworking space	travailler depuis chez soi / depuis un espace de travail partagé
a digital nomad	un nomade numérique (ou digital)
to use digital tools	utiliser les outils numériques
new ways of working (NWOW)	les nouveaux modes de travail
agile working / smart working	le travail agile / le smart working
well-being at work	le bien-être au travail
an open plan office	un open space
to jobshare	partager un poste avec qn d’autre
desk sharing	le partage de bureaux
not to be assigned a permanent desk	ne pas avoir de bureau attitré
to work in a collective environment	travailler dans un environnement collectif
not to work in a specific place	ne pas travailler dans un endroit spécifique
to be fully remote	travailler toujours à distance
to hold a meeting by videoconference	faire une réunion en visioconférence
to replace face-to-face contact	remplacer le contact direct
enterprise culture	la culture d’entreprise
enterprise / entrepreneurship	l’esprit d’entreprise / l’entreprenariat
entrepreneurial innovation	l’innovation entrepreneuriale
an entrepreneur / to be enterprising	un entrepreneur / être entreprenant
to do collaborative work	pratiquer le travail collaboratif
to resort to crowdsourcing	avoir recours à la production participative
gigging / gig work	le travail à la tâche, les petits boulots
a gig worker	un travailleur de la ‘gig economy’
to be paid piece-rate	être payé à la tâche
to use apps	utiliser des applis
to work on a zero-hour contract	travailler avec un contrat zéro heure
to work freelance / a free lancer	travailler en free-lance / un freelance
to have autonomy over one’s working pattern	gérer son activité en toute autonomie
no longer applies	ne s'applique plus
the flipside	l'inconvénient
