a wage earner	un salarié
his wage packet / his pay packet	sa paie
his wages / his salary	son salaire
an hourly wage / a daily wage	un salaire horaire / journalier
the minimum wage	le salaire minimum, le SMIC
low wages / high wages	les bas salaires / les salaires élevés
to earn a good wage / good wages	avoir un bon salaire
to be / to get paid £400 a week	toucher 400 livres par semaine
to be well paid / to be badly paid	être bien / être mal payé
to be promoted / to get promotion	être promu
his annual income	son revenu annuel
income tax	l’impôt sur le revenu
to be on a high income	avoir des revenus élevés
low-income families	des familles à revenus modestes
take-home pay	le salaire net
net income	le revenu net (après impôts)
gross income	le revenu brut
fees	des honoraires
a source of income / of livelihood	une source de revenu
a wage policy	une politique des salaires
a wage claim	une revendication salariale
a wage rise / a pay rise / (US) a pay hike	une augmentation de salaire
wages increased by / rose by…	les salaires ont augmenté de…
they increased / raised wages by…	ils ont augmenté les salaires de…
a wage freeze	un blocage des salaires
to freeze wages	geler les salaires
pay negotiations	des négociations salariales
a wage agreement	un accord salarial
to settle / to resolve a pay dispute	résoudre un conflit salarial
a social conflict / an industrial	un conflit social
a trade union / a workers’ union	un syndicat
a union member	un syndiqué
to join a union	se syndiquer
a union / staff representative	un délégué syndical / du personnel
a work stoppage / a strike	un arrêt de travail / une grève
a protest movement	un mouvement de protestation
to be / to go on strike	être / se mettre en grève
a demonstration / a demo	une manifestation / une manif
to demonstrate / a demonstrator	manifester / un manifestant
what matters most is	ce qui importe le plus
although	bien que
to hold sway	exercer une influence
