to retire	partir en retraite
to be retired	être en retraite
a retired teacher	un professeur en retraite
a retiree / a pensioner / an old age pensioner / an OAP	un retraité
(to approach) retirement age	(approcher de) l’âge de la retraite
to be of pensionable age	avoir l’âge de la retraite
to be pensioned off / put out to grass	être mis à la retraite
early retirement	la préretraite, la retraite anticipée
to take early retirement	partir en préretraite
to be semi-retired	être en semi-retraite
a (retirement) pension	une pension, une retraite
to draw / get / receive one’s pension	toucher sa retraite
to pay money into a pension	cotiser pour sa retraite
to take out a pension	souscrire un plan de retraite
to take out an extra pension	prendre une retraite complémentaire
to qualify for a full pension	bénéficier d’une retraite à taux plein
a pension plan / scheme / system	un système de retraite
a state pension / (US) a public pension	une retraite versée par l’État
the pay-as-you-go pension system	la retraite par répartition
pension funds	la retraite par capitalisation, les fonds de pension
the cost of retirement	le coût de la retraite
the population is ageing	la population vieillit
the ratio of active workers to retirees	le ratio cotisants-retraités
to redress the imbalance	rétablir l’équilibre
to take unpopular measures	prendre des mesures impopulaires
to postpone retirement age	reculer l’âge de la retraite
to increase contributions	augmenter les cotisations
to reduce pensions	diminuer les pensions
to work up to 65	travailler jusqu’à 65 ans
to save for one’s retirement	se constituer une épargne-retraite
a generational contract	un contrat intergénérationnel
generational solidarity	la solidarité entre générations
to finance / to fund the retirement of their elders	financer la retraite de leurs aînés
to ignite an age war	déclencher une guerre des générations
to be a burden on	être un fardeau pour
to cost the nation a fortune	coûter une fortune à la nation
