the black economy	l’économie parallèle
the black market	le marché noir
black market cigarettes / contraband cigarettes	des cigarettes de contrebande
fake drugs	des faux médicaments
smuggling / a smuggler	la contrebande / un contrebandier
counterfeiting / a counterfeit	la contrefaçon / une contrefaçon
a black marketeer	un vendeur au marché noir
black money	l’argent du marché noir
barter	le troc
illegal work / moonlighting	le travail au noir
to work illegally / to do illegal work / to moonlight	travailler au noir
an illegal worker / a moonlighter	un travailleur au noir
to make a bit of money on the side	se faire un peu d’argent à côté
to do extra odd jobs	faire des petits boulots en plus
to hold two jobs	avoir deux emplois
to do private home repairs	faire des réparations chez les particuliers
to do car repair	faire des réparations automobiles
to do private hairdressing	coiffer à domicile
to do private housecleaning	faire du ménage chez les particuliers
to earn extra money	avoir des à-côtés
to supplement one’s income	arrondir ses fins de mois
taxable income	le revenu imposable
untaxed income	des revenus exemptés d’impôts
not to declare what you earn	ne pas déclarer ses gains
not to pay tax	ne pas payer d’impôts
to evade tax / to beat the taxman	frauder le fisc
tax evasion / tax fraud	l’évasion fiscale, la fraude fiscale
to cheat	tricher
a tax evader / a tax dodger	un fraudeur du fisc
not to pay VAT	ne pas payer la TVA
to curb the black economy	réduire l’économie parallèle
to crack down on theunderground economy	sévir contre l’économie souterraine
a loss of tax revenues	une perte de recettes fiscales
to be convicted on fraud charges	être condamné pour fraude fiscale
to rat on a moonlighter	dénoncer un travailleur au noir
