trade	les échanges commerciaux
to trade with (a country)	commercer avec (un pays)
to trade in coffee, etc.	faire le commerce du café, etc.
the arms trade / the coffee trade	le commerce des armes / du café
a trader	un négociant
a trading partner	un partenaire commercial
the WTO / the OECD / the IMF	l’OMC / l’OCDE / le FMI
international trade agreements	les accords commerciaux internationaux
home trade / foreign trade	le commerce intérieur / extérieur
wholesale trade / retail trade	le commerce de gros / de détail
the trade balance	la balance commerciale
the balance of payments	la balance des paiements
the trade deficit	le déficit commercial
a trade surplus	un excédent commercial
to export (to France)	exporter (en France)
a wine-exporting country	un pays exportateur de vin
an exporter / an importer	un exportateur / un importateur
to import (from France)	importer (de France)
a meat-importing country	un pays importateur de viande
an export / an import	une exportation / une importation
raw materials	les matières premières
trade relations	les relations commerciales
a niche in the market	un créneau sur le marché
to target new markets	cibler de nouveaux marchés
protectionism / liberalism	le protectionnisme / le libéralisme
a protectionist policy	une politique protectionniste
a protectionist backlash	une réaction protectionniste
free trade	le libre-échange
a free-trade zone / agreement	un(e) zone / accord de libre- échange
customs duties	les droits de douane
a customs officer	un douanier
the trade war	la guerre commerciale
(to erect) tariff walls	(ériger) des barrières douanières
to remove trade barriers	supprimer les barrières douanières
export quotas	des quotas d’exportations
(to impose) import quotas	(imposer) des quotas d’importations
trade sanctions	des sanctions commerciales
to impose / to lift an embargo	imposer / lever un embargo
a boycott on / to boycott a	un boycott sur / boycotter
product	un produit
