the plague of terrorism	le fléau du terrorisme
a terrorist / a gunman	un terroriste
to terrorize	terroriser
to stage a terrorist attack	commettre un attentat
a terrorist group / a terror group	un groupe terroriste
a terrorist organisation	une organisation terroriste
a lone wolf	un loup solitaire
random violence / gratuitous violence	la violence aveugle / gratuite
violence for the sake of violence	la violence pour la violence
Islamic State / Isis	l’État islamique / l’EI, Daesh
a radical Islamist	un Islamiste radical
to radicalize / to become radicalized	se radicaliser
radical Islamic circles	les milieux islamistes radicaux
terrorism is unislamic	le terrorisme est contraire à l’Islam
an act of terrorism	un acte de terrorisme
to plant / to detonate a bomb	poser / faire exploser une bombe
to defuse a bomb	désamorcer une bombe
a bomb attack	une attaque à la bombe
a wave of bombings	une vague d’attentats
a bomb scare	une alerte à la bombe
a bomb threat	une menace d’attentat
a bomb hoax	une fausse alerte (à la bombe)
a car bomb / a parcel bomb	une voiture piégée / un colis piégé
the car was booby-trapped	la voiture était piégée
a bomber	un poseur de bombes
a suicide bomber / a kamikaze	un kamikaze
a suicide bombing	une attaque kamikaze
to blow up a plane	faire sauter un avion
to hijack / to skyjack a plane	détourner un avion
a hijacker / a skyjacker	un pirate de l’air
a plane hijacking	un détournement d’avion
a knife attack	une attaque au couteau
to hold / to behead a hostage	détenir / décapiter un otage
to be taken hostage	être pris en otage
a jihadist	un djihadiste
to do / to wage jihad	faire le djihad
a fanatic / a zealot	un fanatique
to claim responsibility for an attack	revendiquer un attentat
9/11	le 11 septembre
