transport / (US) transportation	le(s) transport(s)
the transport secretary	le ministre des Transports (au RU)
to transport / to carry goods	transporter des marchandises
to deliver goods	livrer des marchandises
a delivery	une livraison
a delivery man	un livreur
to (un)load goods	(dé)charger des marchandises
a parcel / a package	un colis, un paquet
freight	le fret
to charter	affréter (un avion, etc.)
a cargo / a shipment	une cargaison
to ship goods	expédier des marchandises (par bateau, avion, train, etc.)
the shipment of goods	l’expédition de marchandises
a container / a crate	un conteneur / une caisse
a means / a mode of transport	un moyen de transport
air transport	le transport aérien
a cargo plane	un avion cargo
sea transport / maritime transport	le transport maritime
a roll-on roll-off ferry / a ro-ro (ferry)	un roulier
inland waterway transport	le transport fluvial
rail transport	le transport ferroviaire
to derail / a derailment	dérailler / un déraillement
a goods train / a freight train	un train de marchandises
piggy-back transport / road-rail transport	le ferroutage
road transport / road haulage	le transport routier
a haulier / (US) a hauler	un transporteur
a road haul(i)er	un transporteur routier
a lorry / a truck	un camion
an articulated lorry / (US) a semi	un semi-remorque
a heavy goods vehicle / an HGV	un poids lourd
a juggernaut	un mastodonte
a van	une camionnette
a trailer	une remorque
a lorry driver / a truck driver / (US) a trucker / a teamster	un (chauffeur) routier
a transport café	un relais routier
a route	un itinéraire
transport costs	les frais de transport
