a pro-globalizer	un mondialiste
to go global / to globalize	se mondialiser
the global village	le village planétaire
a borderless world	un monde sans frontières
the Third World	le Tiers-Monde
developed countries	les pays développés
developing countries	les pays en développement
emerging countries	les pays émergents
the World Economic Forum	le Forum économique mondial
the world market	le marché mondial
cross-border trade	le commerce transfrontalier
the free flow of goods / capital / services / technologies	la libre circulation des marchandises / capitaux / services / technologies
to contribute to the relationships between the peoples of the world	contribuer aux relations entre les peuples du monde
the interdependence of the world’s economies	l’interdépendance des économies mondiales
competition	la concurrence
the liberalisation / deregulation of trade	la libéralisation / déréglementation des échanges commerciaux
to deregulate	déréglementer
to deregulate prices	libérer les prix
price fixing	des ententes illicites (sur les prix)
decentralisation / to decentralise	la décentralisation / décentraliser
the relocation of companies	la délocalisation des entreprises
to relocate a company	délocaliser une entreprise
to be relocated	être délocalisée (une entreprise)
the outsourcing / offshoring (of a job)	l’externalisation (d’une activité)
the inshoring / reshoring of a company	la relocalisation (d’une entreprise)
to create jobs	créer des emplois
to help global economic growth	contribuer à la croissance économique mondiale
to allow developing countries to catch up with industrialized countries	permettre aux pays en développement de rattraper les pays industrilisés
to make companies more competitive	rendre les entreprises plus compétitives
to make prices more attractive	rendre les prix plus intéressants
to enrich cultural diversity	enrichir la diversité culturelle
to benefit from globalization	bénéficier de la mondialisation
