genetics	la génétique
a geneticist / a genetic engineer	un généticien
(to tinker with) a gene	(modifier) un gène
the genetic code	le code génétique
(the mapping of) the human genome	(la cartographie du) génome humain
the sequencing of the human genome	le séquençage du génome humain
the genetic make-up / the gene pool / the genetic blueprint	le patrimoine génétique
genetic information	les informations génétiques
genetic screening	le dépistage génétique
genetic fingerprinting	l’analyse de l’empreinte génétique
gene therapy	la thérapie génique
an (embryonic) stem cell	une cellule souche (embryonnaire)
(to freeze) an embryo	(congeler) un embryon
human-embryo research	la recherche sur l’embryon humain
to harvest cells from embryos	récolter des cellules à partir d’embryons
a somatic / germinal cell	une cellule somatique / germinale
cloning / a clone	le clonage / un clone
human cloning / animal cloning	le clonage humain / animal
therapeutic / reproductive cloning	le clonage thérapeutique / reproductif
an egg / to donate an egg	un ovule / faire un don d’ovule
sperm / a sperm donor	le sperme / un donneur de sperme
artificial insemination	l’insémination artificielle
in vitro fertilization / IVF	la fécondation in vitro / la FIV
assisted reproductive technologies / ART	les technologies de procréation assistée
medically assisted procreation	la PMA
DNA	l’ADN
an experiment	une expérience
to experiment on humans	faire des expériences sur l’homme
to create designer babies	créer des bébés sur mesure
to repair damaged heart muscle	restaurer des tissus cardiaques abîmés
to speed up cures for genetic diseases	accélérer les traitements des maladies génétiques
ethics / bioethics	l’éthique / la bioéthique
to raise ethical issues	poser des problèmes d’éthique
an ethicist	un éthicien
unethical / immoral	contraire à l’éthique, immoral
