GMOs	les OGM
the biotechnology business	l’industrie biotechnologique
a biotechnology firm	une entreprise biotechnologique
the pharmaceutical industry	l’industrie pharmaceutique
a biotech drug	un médicament biotechnologique
agricultural biotechnology	la biotechnologie agricole
agribusiness	l’industrie agroalimentaire
agronomy	l’agronomie
an agronomist / an agricultural scientist	un agronome, un ingénieur agronome
a biotech product	un produit transgénique
biotechnology’s advocates	les partisans de la biotechnologie
the (pro-)GM lobby	le lobby (des) OGM
biotechnology’s opponents	les ennemis de la biotechnologie
anti-GM activists	des militants anti-OGM
to ban biotech products	interdire les produits transgéniques
to be suspicious of	se méfier de
a consumer group	une association de consommateurs
consumer fears / consumers’ fears	les craintes des consommateurs
to assuage consumer fears	apaiser les craintes des consommateurs
consumer resistance	la résistance des consommateurs
GM food / GM foods	l’alimentation transgénique
the labelling of GM food	l’étiquetage de l’alimentation transgénique
traceability	la traçabilité
a risk assessment test	un test de dangerosité
to enter the food chain	entrer dans la chaîne alimentaire
GM crops	les cultures transgéniques
the marketing of GM soya beans / of GM rapeseed	la commercialisation du soja / du colza transgénique
GM maize / GM cotton / GM rice	le maïs, le coton, le riz transgénique
conventional crops	les cultures traditionnelles
to plant	planter
a seed	une graine
to be resistant to drought / to insects	résister à la sécheresse, aux insectes
to increase yields	augmenter les rendements
a tool to combat hunger	un outil pour combattre la faim
to pull up crops	arracher des cultures
cross-pollination	la pollinisation croisée
