high technology	la haute technologie
the hi(gh)-tech revolution	la révolution technologique
state-of-the-art technology	la technologie de pointe
user-friendly digital tools	des outils numériques conviviaux
the virtual office	le bureau virtuel
a digital native	un natif numérique
to be computer literate / computerate	savoir se servir d’un ordinateur
computer literacy / digital literacy	la maîtrise de l’ordinateur / des nouvelles technologies
IT skills	des compétences en informatique
digital illiteracy	l’illectronisme
hi(gh) tech equipment	de l’équipement de haute technologie
a desktop / a desktop computer	un ordinateur de bureau
a computer screen	un écran d’ordinateur
hardware	du matériel informatique
(a piece of) software / a program	un logiciel, un programme
a keyboard / a mouse	un clavier / une souris
a toolbar	une barre d’outils
a USB key	une clé USB
a laptop	un (ordinateur) portable
a palmtop	un ordinateur de poche
a tablet (computer) / a tab	une tablette
a smartphone	un smartphone
a (laser) printer	une imprimante (laser)
a 3-D printer	une imprimante 3 D
to print an article	imprimer un article
a photocopier / to photocopy	un photocopieur / photocopier
a fax (machine) / a scanner	un fax (l’appareil)/un scanner
a mobile (phone) / a cellphone	un portable, un téléphone portable
an email address / to send an email	une adresse mail / envoyer un mail
to send a fax / to text	envoyer un fax / envoyer un SMS
to open an attachment	ouvrir une pièce jointe
an intranet	un intranet
instant messaging / IM / chat	la messagerie instantanée / le tchat
voice recognition software / apps	des logiciels / des applis de reconnaissance vocale
new ways of communicating	de nouvelles façons de communiquer
teleworking / telecommuting	le télétravail
to telework / to telecommute	télétravailler
teleconferencing / video conferencing	la téléconférence / la visioconférence
