a global scourge	un fléau mondial
the HIV virus	le virus HIV, le virus VIH
to be living with the (HIV) virus	être porteur du virus (du sida)
to be HIV positive	être séropositif
to develop AIDS	contracter le sida
to pick up the AIDS virus	contracter le virus du sida
to be infected with HIV	être contaminé par le virus HIV
an AIDS patient / an AIDS sufferer	un malade du sida
an AIDS case	un cas de sida
to spread	se propager (le virus, la maladie)
the spread of the disease	la propagation de la maladie
a killer disease	une maladie mortelle
to die of AIDS / to die from AIDS	mourir du sida
to transmit the virus in childbirth	transmettre le virus à la naissance
tainted / infected / contaminated blood	du sang contaminé
AIDS orphans	les orphelins du sida
a sexually transmitted disease / an STD	une maladie sexuellement transmissible / une MST
semen / sperm	le sperme
to catch AIDS through unprotected sex	contracter le sida lors de rapports sexuels non protégés
high-risk behaviour	un comportement à haut risque
multiple partners	des partenaires multiples
a high-risk group	un groupe à haut risque
to be discriminated against	être victime de discrimination
oral sex	les rapports bucco-génitaux
a condom	un préservatif
safe sex	le sexe sans risque
a condom vending machine	un distributeur de préservatifs
to protect oneself	se protéger
abstinence	l’abstinence
chastity	la chasteté
faithfulness	la fidélité
AIDS drugs	des médicaments contre le sida
anti-retrovirals / anti-retroviral drugs	des (médicaments) anti-rétroviraux
triple therapy	la trithérapie
to be screened for AIDS	passer un test de dépistage du sida
to be AIDS-free	ne pas être porteur du virus du sida
to dream of an AIDS-free generation	rêver d’une génération sans sida
