alcohol consumption	la consommation d’alcool
alcohol abuse	l’abus d’alcool, l’alcoolisme
an alcoholic / a problem drinker	un alcoolique
to be alcohol-dependent / to be alcoholic	être alcoolo-dépendant / être alcoolique
a heavy drinker	un gros buveur
to hit the bottle	lever le coude, picoler
to drink to excess	trop boire
to drink in moderation	boire avec modération
a pint of beer	une pinte de bière
booze	des boissons alcoolisées
teenage drinking	l’alcoolisme des jeunes
binge drinking	l’alcool défonce, la biture express
a binge drinker	qn qui pratique l’alcool défonce
to booze / to be on the booze	prendre une cuite
to get drunk / to get tanked up	se soûler
to get sloshed / to go on a bender	se pinter / prendre une biture
to drink like a fish	boire comme un trou
to be drunk as a lord	être complètement ivre
to go on a pub crawl	faire la tournée des pubs
he has had too much to drink	il a trop bu
he’s had one too many	il a bu un coup de trop
to drink oneself under the table	rouler sous la table
to sober up	dessoûler
to have a hangover	avoir la gueule de bois
to have a drink(ing) problem	avoir un problème d’alcool
alcohol-related problems	les problèmes liés à l’alcool
a drunk / a drunkard	un ivrogne
to be under the influence of alcohol	être sous l’emprise de l’alcool
to be addicted to alcohol	s’adonner à la boisson
to drive under the influence	conduire en état d’ivresse
cirrhosis (of the liver)	la cirrhose (du foie)
a teetotaller	quelqu’un qui ne boit jamais d’alcool
to go on the wagon	arrêter l’alcool
an anti-drinking campaign	une campagne antialcoolique
to ban the advertising of alcohol	interdire la publicité pour l’alcool
to raise the minimum drinking age	relever l’âge légal pour consommer de l’alcool
to raise alcohol taxes	augmenter les taxes sur l’alcool
