heterosexuality / a heterosexual	l’hétérosexualité / un hétérosexuel
to be heterosexual / to be straight	être hétérosexuel
to be bisexual	être bi
homosexuality / gayness	l’homosexualité (masculine)
a gay / a homosexual	un homosexuel (un homme)
to be gay / to be homosexual	être homosexuel (pour un homme)
the gay community	la communauté homosexuelle
gay rights	les droits des homosexuels
gay activists	les défenseurs de l’homosexualité
a lesbian	une homosexuelle, une lesbienne
the LGBT community	la communauté LGBT
same-sex marriage	le mariage homosexuel, pour tous
to come out (of the closet)	révéler son homosexualité
homophobia	l’homophobie
tolerance / intolerance	la tolérance / l’intolérance
sexual orientation / preference	l’orientation sexuelle
sexual intercourse / relationships	les rapports, relations sexuel(le)s
a sexual partner	un partenaire sexuel
a sexual experience	une expérience sexuelle
sex education	l’éducation sexuelle
to be sexually active	avoir une activité sexuelle
(sexual) desire	le désir
to sleep with sb	coucher avec qn
to make love (with sb)	faire l’amour (avec qn)
to have sex (with sb)	avoir des rapports sexuels (avec qn)
to fuck / to have it off	baiser / s’envoyer en l’air
to have an orgasm / to come	avoir un orgasme, jouir
impotence / infertility	l’impuissance / la stérilité
casual sex	les rapports sexuels occasionnels
safe sex / unprotected sex	les rapports protégés / non protégés
contraception	la contraception
a contraceptive device	un moyen de contraception
a condom	un préservatif
an IUD / a coil / a loop	un dispositif intra-utérin / un stérilet
to be on the pill	prendre la pilule
the morning-after pill	la pilule du lendemain
virginity / to be a virgin	la virginité / être vierge
teenage sex	le sexe chez les ados
premarital sex / extramarital sex	le sexe avant le mariage / hors mariage
