as	comme
because	parce que
for	carsince	puisque
consequently	en conséquence
therefore	il s'en suit que
so	donc
that's why	c'est pourquoi
as a result of	en raison de
still	cependant (s)
and yet	et encore
however	cependant (h)
despite	malgré (d)
in spite of	malgré (i)
although	bien que (a)
though	bien que (t)
unless	à moins que
nevertheless	néanmoins
otherwise	sinon
whether	si
on condition that	à condition que (o)
provided	à condition que (p)
meanwhile	pendant ce temps
until	jusqu'à (u)
till	jusqu'à (t)
once	une fois que
last week	la semaine dernière
when	quand
ago	il y a + time
during	pendant + évènement
for	pendant + durée
since	depuis
as soon as	dès que
in order to	pour, afin de
so as to	afin de
whereas	tandis que
while	pendant que
on the contrary	au contraire
contrary to	contrairement à (c)
instead of	au lieu de
unlike	contrairement à (u)
but	mais
even if	même si
even	même
though	cependant
moreover	de plus (m)
futhermore	en outre
what's more	quoi de plus
in a addition to	en plus de
besides	de plus (b)
all the same	tout de même
similary	similairement
what if	et si
suppose	supposer
