bv:abide, pr:abode, pp:abode	respecter, se conformer à
bv:arise, pr:arose, pp:arisen	survenir
bv:awake, pr:awoke, pp:awoken	se réveiller
bv:be, pr:was, were, pp:been	être
bv:bear, pr:bore, pp:borne, born	porter, supporter, naître
bv:beat, pr:beat, pp:beaten	battre
bv:become, pr:became, pp:become	devenir
bv:beget, pr:begat, begot, pp:begotten	engendrer
bv:begin, pr:began, pp:begun	commencer
bv:bend, pr:bent, pp:bent	plier, se courber
bv:bet, pr:bet, pp:bet	parier
bv:bid, pr:bid, bade, pp:bid, bidden	offrir
bv:bite, pr:bit, pp:bitten	mordre
bv:bleed, pr:bled, pp:bled	saigner
bv:blow, pr:blew, pp:blown	souffler, gonfler
bv:break, pr:broke, pp:broken	casser
bv:breed, pr:bred, pp:bred	élever (des animaux)
bv:bring, pr:brought, pp:brought	apporter
bv:broadcast, pr:broadcast, pp:broadcast	diffuser, émettre
bv:build, pr:built, pp:built	construire
bv:burn, pr:burnt, burned, pp:burnt, burned	brûler
bv:burst, pr:burst, pp:burst	éclater
bv:buy, pr:bought, pp:bought	acheter
bv:can, pr:could, pp:could	pouvoir
bv:cast, pr:cast, pp:cast	jeter, distribuer (rôles)
bv:catch, pr:caught, pp:caught	attraper
bv:chide, pr:chid, chode, pp:chid, chidden	gronder
bv:choose, pr:chose, pp:chosen	choisir
bv:cling, pr:clung, pp:clung	s'accrocher
bv:clothe, pr:clad, clothed, pp:clad, clothed	habiller, recouvrir
bv:come, pr:came, pp:come	venir
bv:cost, pr:cost, pp:cost	coûter
bv:creep, pr:crept, pp:crept	ramper
bv:cut, pr:cut, pp:cut	couper
bv:deal, pr:dealt, pp:dealt	distribuer
bv:dig, pr:dug, pp:dug	creuser
bv:dive, pr:dived, pp:dived, dove	plonger
bv:do, pr:did, pp:done	faire
bv:draw, pr:drew, pp:drawn	dessiner, tirer
bv:dream, pr:dreamt, dreamed, pp:dreamt, dreamed	rêver
bv:drink, pr:drank, pp:drunk	boire
bv:drive, pr:drove, pp:driven	conduire
bv:dwell, pr:dwelt, pp:dwelt, dwelled	habiter
bv:eat, pr:ate, pp:eaten	manger
bv:fall, pr:fell, pp:fallen	tomber
bv:feed, pr:fed, pp:fed	nourrir
bv:feel, pr:felt, pp:felt	se sentir, ressentir
bv:fight, pr:fought, pp:fought	se battre
bv:find, pr:found, pp:found	trouver
bv:flee, pr:fled, pp:fled	s'enfuir
bv:fling, pr:flung, pp:flung	lancer
bv:fly, pr:flew, pp:flown	voler
bv:forbid, pr:forbade, pp:forbidden	interdire
bv:forecast, pr:forecast, pp:forecast	prévoir
bv:foresee, pr:foresaw, pp:foreseen	prévoir, presentir
bv:forget, pr:forgot, pp:forgotten, forgot	oublier
bv:forgive, pr:forgave, pp:forgiven	pardonner
bv:forsake, pr:forsook, pp:forsaken	abandonner
bv:freeze, pr:froze, pp:frozen	geler
